hashtag,rank_today,rank_prev_state,rank_delta,cold_entry,persistent,rank_start,persistence_trend
christmasgiftidea,60,87,27,0,1,60,0
winteroutfit,36,60,24,0,1,36,0
christmasoutfit,35,52,17,0,1,35,0
invierno,48,62,14,0,1,48,0
winterboots,54,61,7,0,1,54,0
coldweather,23,29,6,0,1,23,0
stockingstuffers,30,33,3,0,1,30,0
holidayseason,13,15,2,0,1,13,0
holidaycountdown,21,23,2,0,1,21,0
christmasgift,9,10,1,0,1,9,0
matchingpjs,87,88,1,0,1,87,0
winteroutfits,98,99,1,0,1,98,0
giftsforhim,17,17,0,0,1,17,0
christmasgiftideas,3,2,-1,0,1,3,0
gifts,7,5,-2,0,1,7,0
winterfashion,8,6,-2,0,1,8,0
jacket,27,25,-2,0,1,27,0
holidayoutfit,55,53,-2,0,1,55,0
tiktokshopcybermonday,4,1,-3,0,1,4,0
giftidea,10,7,-3,0,1,10,0
giftsforher,14,11,-3,0,1,14,0
chanel,22,19,-3,0,1,22,0
christmassweater,52,49,-3,0,1,52,0
stockingstuffer,12,8,-4,0,1,12,0
giftideasforher,44,39,-5,0,1,44,0
boots,18,12,-6,0,1,18,0
warm,50,44,-6,0,1,50,0
wishlist,28,21,-7,0,1,28,0
sweater,26,18,-8,0,1,26,0
urbanchic,37,28,-9,0,1,37,0
christmaslist,39,30,-9,0,1,39,0
christmaswishlist,49,36,-13,0,1,49,0
moodyaesthetic,51,37,-14,0,1,51,0
tiktokshopfalldealsforyou,24,9,-15,0,1,24,0
sweaterweather,32,16,-16,0,1,32,0
blackfridaydeals,20,3,-17,0,1,20,0
fashionshow,95,78,-17,0,1,95,0
cowgirlstyle,63,42,-21,0,1,63,0
nycstyle,66,43,-23,0,1,66,0
californiagirl,80,56,-24,0,1,80,0
beanie,93,67,-26,0,1,93,0
baddiealert,68,41,-27,0,1,68,0
fitchecks,67,38,-29,0,1,67,0
grungeglam,76,46,-30,0,1,76,0
rainydaylook,77,47,-30,0,1,77,0
indoorbeauty,78,48,-30,0,1,78,0
cityglam,83,51,-32,0,1,83,0
christmaspajamas,73,40,-33,0,1,73,0
longsleeve,88,55,-33,0,1,88,0
halara,61,27,-34,0,1,61,0
coat,96,54,-42,0,1,96,0
fallfreshness,94,31,-63,0,1,94,0
tiktokshopblackfriday,1,,,0,1,1,0
tiktokshopholidayhaul,2,,,0,1,2,0
giftideas,5,,,0,1,5,0
blackfriday,6,,,0,1,6,0
christmasgifts,11,,,0,1,11,0
target,15,,,0,1,15,0
hoodie,16,,,0,1,16,0
christmasshopping,19,,,0,1,19,0
holidaygifts,25,,,0,1,25,0
quarterzip,29,,,0,1,29,0
socks,31,,,0,1,31,0
holidayparty,33,,,0,1,33,0
giftforher,34,,,0,1,34,0
stockingstufferideas,38,,,0,1,38,0
ornaments,40,,,0,1,40,0
targetfinds,41,,,0,1,41,0
regalos,42,,,0,1,42,0
tiktokblackfriday,43,,,0,1,43,0
slippers,45,,,0,1,45,0
giftforhim,46,,,0,1,46,0
holidaygiftideas,47,,,0,1,47,0
vendor,53,,,0,1,53,0
looks,56,,,0,1,56,0
comfrt,57,,,0,1,57,0
brandy,58,,,0,1,58,0
present,59,,,0,1,59,0
sweatpants,62,,,0,1,62,0
holidaygiftguide,64,,,0,1,64,0
southernbelle,65,,,0,1,65,0
knitting,69,,,0,1,69,0
texasbeauty,70,,,0,1,70,0
wrappinggifts,71,,,0,1,71,0
sunsetaesthetic,72,,,0,1,72,0
festive,74,,,0,1,74,0
holidaydeals,75,,,0,1,75,0
usbeauty,79,,,0,1,79,0
presents,81,,,0,1,81,0
blackfridaysale,82,,,0,1,82,0
wildheart,84,,,0,1,84,0
waterproof,85,,,0,1,85,0
californiadreamin,86,,,0,1,86,0
bootsandhats,89,,,0,1,89,0
bagsmart,90,,,0,1,90,0
miaminights,91,,,0,1,91,0
varsity,92,,,0,1,92,0
latinavibes,97,,,0,1,97,0
hoodies,99,,,0,1,99,0
temu,100,,,0,1,100,0
